rep,loglik_trace
0,"[-11301.8115234375, -11633.7138671875, -11727.2431640625, -11748.4365234375, -11730.650390625, -11747.6865234375, -11732.1123046875, -11765.255859375, -11751.6484375, -11728.65234375, -11637.9013671875]"
1,"[-11394.1708984375, -11536.4931640625, -11709.7880859375, -11669.0751953125, -11636.720703125, -11642.6298828125, -11671.4189453125, -11698.740234375, -11684.080078125, -11744.1630859375, -11768.4599609375]"
2,"[-11171.5712890625, -11623.09375, -11601.595703125, -11663.986328125, -11708.4404296875, -11681.7587890625, -11709.7099609375, -11716.478515625, -11691.1005859375, -11658.8798828125, -11707.3095703125]"
3,"[-11135.1396484375, -11667.61328125, -11702.9521484375, -11690.7216796875, -11605.0556640625, -11673.1728515625, -11727.12890625, -11676.169921875, -11702.7197265625, -11678.8525390625, -11729.9130859375]"
4,"[-11208.173828125, -11601.8076171875, -11624.443359375, -11616.5234375, -11692.2587890625, -11650.552734375, -11648.0126953125, -11689.2373046875, -11751.7958984375, -11723.361328125, -11722.6611328125]"
5,"[-11253.955078125, -11653.0654296875, -11594.19140625, -11680.44921875, -11586.05078125, -11673.45703125, -11622.109375, -11678.5849609375, -11671.5244140625, -11641.955078125, -11637.279296875]"
6,"[-10923.166015625, -11624.572265625, -11681.9345703125, -11724.712890625, -11689.12890625, -11661.0546875, -11687.677734375, -11742.5537109375, -11722.388671875, -11727.0595703125, -11711.3759765625]"
7,"[-11370.9345703125, -11630.9033203125, -11610.568359375, -11633.8095703125, -11601.041015625, -11695.3896484375, -11663.103515625, -11464.365234375, -11596.2646484375, -11636.919921875, -11648.4638671875]"
8,"[-10852.708984375, -11597.1650390625, -11679.3837890625, -11588.341796875, -11615.6240234375, -11556.4619140625, -11485.99609375, -11584.212890625, -11639.3828125, -11675.2568359375, -11712.166015625]"
9,"[-10930.9794921875, -11666.294921875, -11573.3486328125, -11558.1748046875, -11637.623046875, -11608.6591796875, -11683.9296875, -11658.2109375, -11643.8486328125, -11655.533203125, -11646.796875]"
10,"[-10643.9619140625, -11653.7587890625, -11619.84375, -11567.0517578125, -11567.5390625, -11626.626953125, -11653.6220703125, -11613.974609375, -11665.0078125, -11654.513671875, -11607.3388671875]"
11,"[-11410.5009765625, -11663.9521484375, -11646.42578125, -11616.591796875, -11645.388671875, -11666.12890625, -11684.111328125, -11648.1943359375, -11649.859375, -11704.1591796875, -11615.7939453125]"
12,"[-10853.1845703125, -11544.0908203125, -11592.0751953125, -11560.52734375, -11379.0849609375, -11629.9873046875, -11707.80078125, -11705.3720703125, -11675.96875, -11689.873046875, -11651.3583984375]"
13,"[-11458.5751953125, -11719.6005859375, -11694.416015625, -11719.4111328125, -11727.578125, -11761.80859375, -11589.37109375, -11728.349609375, -11764.21484375, -11743.7314453125, -11755.0166015625]"
14,"[-11629.51953125, -11533.748046875, -11658.466796875, -11557.3818359375, -11616.5185546875, -11602.0771484375, -11668.6083984375, -11664.03515625, -11684.21484375, -11681.8798828125, -11596.728515625]"
15,"[-11226.7529296875, -11549.5126953125, -11589.0478515625, -11536.9033203125, -11599.6728515625, -11579.7119140625, -11698.720703125, -11638.2880859375, -11672.0986328125, -11670.732421875, -11654.0947265625]"
16,"[-10979.8603515625, -11250.3193359375, -11580.76953125, -11642.478515625, -11656.6953125, -11715.0380859375, -11679.880859375, -11356.9052734375, -11695.8916015625, -11691.1650390625, -11649.4736328125]"
17,"[-11477.4208984375, -11648.2763671875, -11688.1162109375, -11679.671875, -11670.3623046875, -11719.4560546875, -11700.0400390625, -11713.5400390625, -11681.685546875, -11723.138671875, -11762.4990234375]"
18,"[-11450.14453125, -11624.3115234375, -11721.9716796875, -11622.267578125, -11646.876953125, -11700.0419921875, -11701.8212890625, -11721.1005859375, -11679.349609375, -11692.7314453125, -11737.3330078125]"
19,"[-11420.96484375, -11679.8935546875, -11714.193359375, -11708.11328125, -11704.80078125, -11692.0478515625, -11718.3857421875, -11711.490234375, -11737.9111328125, -11787.048828125, -11695.4228515625]"
